Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title
QHW06058,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: CA,Homo sapiens,oronasopharynx,2020-01-29,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHW06048,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: CA,Homo sapiens,oronasopharynx,2020-01-29,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHW06038,2020-02-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: CA,Homo sapiens,oronasopharynx,2020-01-29,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHU79203,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,oronasopharynx,2020-01-25,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHU36843,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,"China: Hubei, Wuhan",Homo sapiens,lung,2019-12-30,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHU36853,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,"China: Hubei, Wuhan",Homo sapiens,lung,2019-12-30,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHU36833,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,"China: Hubei, Wuhan",Homo sapiens,lung,2019-12-30,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHU36863,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,"China: Hubei, Wuhan",Homo sapiens,lung,2020-01-01,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHU36823,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,"China: Hubei, Wuhan",Homo sapiens,lung,2019-12-23,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHU79193,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: WA,Homo sapiens,oronasopharynx,2020-01-25,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHR84448,2020-01-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,Australia: Victoria,Homo sapiens,,2020-01-25,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHR63249,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,China: Wuhan,Homo sapiens,lung,2019-12-30,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHR63259,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,China: Wuhan,Homo sapiens,lung,2019-12-30,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHR63289,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,China: Wuhan,Homo sapiens,lung,2019-12-30,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHR63269,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,China: Wuhan,Homo sapiens,lung,2019-12-30,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHR63279,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,China: Wuhan,Homo sapiens,lung,2019-12-30,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHR63299,2020-01-29T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7095,China,Rhinolophus affinis,feces,2013-07-24,orf1ab polyprotein [Bat coronavirus RaTG13]
QHQ71962,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: CA,Homo sapiens,oronasopharynx,2020-01-23,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHO62111,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,China,Homo sapiens,,2020-01-02,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHQ71972,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: CA,Homo sapiens,oronasopharynx,2020-01-22,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHQ82463,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: AZ,Homo sapiens,feces,2020-01-22,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHO62106,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,China,Homo sapiens,,2020-01-02,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHO62876,2020-01-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA: Illinois,Homo sapiens,"lung, oronasopharynx",2020-01-21,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHN73809,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,China,Homo sapiens,"lung, oronasopharynx",2020-01-11,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHN73794,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,China: Shenzhen,Homo sapiens,oronasopharynx,2020-01-10,ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHO60603,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,USA,Homo sapiens,oronasopharynx,2020-01-19,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QHI08610,2020-01-21T00:00:00Z,Coronavirus HKU15,6262,China: Guangxi,Sus scrofa,"feces, abdominal cavity",2017-01-18,polyprotein [Porcine deltacoronavirus]
QHB92363,2020-01-13T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,,2018-03,polyprotein [Porcine epidemic diarrhea virus]
QHB80052,2020-01-12T00:00:00Z,Avian coronavirus,6610,USA,Gallus gallus,,1994,polyprotein 1ab [Infectious bronchitis virus]
QHD43415,2020-01-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,7096,China,Homo sapiens,,2019-12,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QGQ60251,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2015-04-27,polyprotein [Porcine epidemic diarrhea virus]
QGQ60275,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2015-05-20,polyprotein [Porcine epidemic diarrhea virus]
QGQ60287,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,"feces, abdominal cavity",2015-01-06,polyprotein [Porcine epidemic diarrhea virus]
QGQ60245,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2014-03-21,polyprotein [Porcine epidemic diarrhea virus]
QGQ60293,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2017-07-01,polyprotein [Porcine epidemic diarrhea virus]
QGQ60317,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2015-07-29,polyprotein [Porcine epidemic diarrhea virus]
QGQ60215,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2015-01-09,polyprotein [Porcine epidemic diarrhea virus]
QGQ60239,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,"feces, abdominal cavity",2014-03-16,polyprotein [Porcine epidemic diarrhea virus]
QGQ60311,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2015-07-30,polyprotein [Porcine epidemic diarrhea virus]
QGQ60305,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2015-07-03,polyprotein [Porcine epidemic diarrhea virus]
QGQ60227,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,abdominal cavity,2014-03-07,polyprotein [Porcine epidemic diarrhea virus]
QGQ60263,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2015-05-08,polyprotein [Porcine epidemic diarrhea virus]
QGQ60269,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2015-05-20,polyprotein [Porcine epidemic diarrhea virus]
QGQ60233,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2014-03-17,polyprotein [Porcine epidemic diarrhea virus]
QGQ60335,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2015-05-05,polyprotein [Porcine epidemic diarrhea virus]
QGQ60323,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2015-08-11,polyprotein [Porcine epidemic diarrhea virus]
QGQ60221,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2015-01-29,polyprotein [Porcine epidemic diarrhea virus]
QGQ60257,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2015-05-06,polyprotein [Porcine epidemic diarrhea virus]
QGQ60299,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2015-07-03,polyprotein [Porcine epidemic diarrhea virus]
QGQ60329,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2015-10-21,polyprotein [Porcine epidemic diarrhea virus]
QGQ60281,2020-01-01T00:00:00Z,Porcine epidemic diarrhea virus,6781,Colombia,Sus scrofa,feces,2015-06-03,polyprotein [Porcine epidemic diarrhea virus]
QHA24677,2019-12-31T00:00:00Z,Tylonycteris pachypus bat coronavirus HKU4-related,7129,China,Tylonycteris pachypus,,2018-03,orf1ab polyprotein [Tylonycteris pachypus bat coronavirus HKU4-related]
QHA24670,2019-12-31T00:00:00Z,Miniopterus pusillus bat coronavirus HKU8-related,6896,China,Miniopterus pusillus,,2018-03,orf1ab polyprotein [Miniopterus pusillus bat coronavirus HKU8-related]
QHA24723,2019-12-31T00:00:00Z,Hipposideros pomona bat coronavirus CHB25,6719,China,Hipposideros larvatus,,2018-03,orf1ab polyprotein [Hipposideros pomona bat coronavirus CHB25]
QHA24664,2019-12-31T00:00:00Z,Rousettus aegyptiacus bat coronavirus 229E-related,6768,Kenya,Rousettus aegyptiacus,,2018-03,orf1ab polyprotein [Rousettus aegyptiacus bat coronavirus 229E-related]
QHA24702,2019-12-31T00:00:00Z,Rhinolophus affinis bat coronavirus HKU2-related,6728,China,Rhinolophus affinis,,2018-03,orf1ab polyprotein [Rhinolophus affinis bat coronavirus HKU2-related]
QHA24709,2019-12-31T00:00:00Z,Hipposideros pomona bat coronavirus HKU10-related,6784,China,Hipposideros pomona,,2018-03,orf1ab polyprotein [Hipposideros pomona bat coronavirus HKU10-related]
QHA24695,2019-12-31T00:00:00Z,Scotophilus kuhlii bat coronavirus 512-related,6796,China,Scotophilus kuhlii,,2018-03,orf1ab polyprotein [Scotophilus kuhlii bat coronavirus 512-related]
QHA24717,2019-12-31T00:00:00Z,Miniopterus schreibersii bat coronavirus 1-related,6933,China,Miniopterus schreibersii,,2018-03,orf1ab polyprotein [Miniopterus schreibersii bat coronavirus 1-related]
QHA24686,2019-12-31T00:00:00Z,Pipistrellus abramus bat coronavirus HKU5-related,7179,China,Pipistrellus abramus,,2018-03,orf1ab polyprotein [Pipistrellus abramus bat coronavirus HKU5-related]
QGZ28403,2019-12-26T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,,2011-05,polyprotein [Porcine epidemic diarrhea virus]
QGZ00524,2019-12-24T00:00:00Z,Coronavirus HKU15,6258,China,Sus scrofa,abdominal cavity,2019-01,polyprotein [Porcine deltacoronavirus]
QGX41962,2019-12-21T00:00:00Z,Alphacoronavirus sp.,6451,Australia,,,2018,polyprotein 1ab [Alphacoronavirus sp.]
QGX41956,2019-12-21T00:00:00Z,Alphacoronavirus sp.,6451,Australia,,,2018,polyprotein 1ab [Alphacoronavirus sp.]
QGX41944,2019-12-21T00:00:00Z,Alphacoronavirus sp.,6769,Australia,,,2018,polyprotein 1ab [Alphacoronavirus sp.]
QGX07409,2019-12-21T00:00:00Z,Avian coronavirus,6620,USA,Gallus gallus,,2015-07-31,polyprotein 1ab [Infectious bronchitis virus]
QGX41968,2019-12-21T00:00:00Z,Alphacoronavirus sp.,6572,Australia,,,2018,polyprotein 1ab [Alphacoronavirus sp.]
QGX41950,2019-12-21T00:00:00Z,Alphacoronavirus sp.,6768,Australia,,,2018,polyprotein 1ab [Alphacoronavirus sp.]
QGW51918,2019-12-18T00:00:00Z,Middle East respiratory syndrome-related coronavirus,7078,Saudi Arabia,Homo sapiens,,2018-08-30,1AB polyprotein [Middle East respiratory syndrome-related coronavirus]
QGW51907,2019-12-18T00:00:00Z,Middle East respiratory syndrome-related coronavirus,7078,Saudi Arabia,Homo sapiens,,2017-08-17,1AB polyprotein [Middle East respiratory syndrome-related coronavirus]
QGW51896,2019-12-18T00:00:00Z,Middle East respiratory syndrome-related coronavirus,7078,Saudi Arabia,Homo sapiens,,2017-08-01,1AB polyprotein [Middle East respiratory syndrome-related coronavirus]
QGV13494,2019-12-15T00:00:00Z,Middle East respiratory syndrome-related coronavirus,7078,Egypt,Camelus,,2018,1AB polyprotein [Middle East respiratory syndrome-related coronavirus]
QGM12427,2019-11-25T00:00:00Z,Avian coronavirus,6639,Canada,Gallus gallus,,2017,1ab polyprotein [Infectious bronchitis virus]
QGM12414,2019-11-25T00:00:00Z,Avian coronavirus,6631,Canada,Gallus gallus,,2017,1ab polyprotein [Infectious bronchitis virus]
QGM12376,2019-11-25T00:00:00Z,Avian coronavirus,6639,Canada,Gallus gallus,,2017,1ab polyprotein [Infectious bronchitis virus]
QGM12389,2019-11-25T00:00:00Z,Avian coronavirus,6639,Canada,Gallus gallus,,2017,1ab polyprotein [Infectious bronchitis virus]
QGM12402,2019-11-25T00:00:00Z,Avian coronavirus,6620,Canada,Gallus gallus,,2017,1ab polyprotein [Infectious bronchitis virus]
QGJ03658,2019-11-20T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,,2017-08,polyprotein [Porcine epidemic diarrhea virus]
QGJ02388,2019-11-19T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,,2018-10,polyprotein [Porcine epidemic diarrhea virus]
QGA70701,2019-11-11T00:00:00Z,Erinaceus hedgehog coronavirus HKU31,7084,China,Erinaceus amurensis,,2014-08,replicase polyprotein 1ab [Erinaceus hedgehog coronavirus HKU31]
QGA70691,2019-11-11T00:00:00Z,Erinaceus hedgehog coronavirus HKU31,7084,China,Erinaceus amurensis,,2014-08,replicase polyprotein 1ab [Erinaceus hedgehog coronavirus HKU31]
QFU80839,2019-11-04T00:00:00Z,Coronavirus HKU15,6265,China,Sus scrofa,feces,2017-12-11,ORF1a/b protein [Porcine deltacoronavirus]
QFQ59585,2019-10-23T00:00:00Z,Middle East respiratory syndrome-related coronavirus,7078,Qatar,Lama glama,oronasopharynx,,ORF1ab [Middle East respiratory syndrome-related coronavirus]
QFP92270,2019-10-20T00:00:00Z,Porcine epidemic diarrhea virus,6781,Taiwan,Sus scrofa domesticus,feces,2018-02-27,polyprotein [Porcine epidemic diarrhea virus]
QFG01693,2019-10-09T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,,2017-10-20,polyprotein [Porcine epidemic diarrhea virus]
QFG01687,2019-10-09T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,,2017-06-01,polyprotein [Porcine epidemic diarrhea virus]
QFG01699,2019-10-09T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,,2017-10-27,polyprotein [Porcine epidemic diarrhea virus]
QFG01711,2019-10-09T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,,2018-02-02,polyprotein [Porcine epidemic diarrhea virus]
QFG01705,2019-10-09T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,,2017-11-13,polyprotein [Porcine epidemic diarrhea virus]
QEY10622,2019-10-07T00:00:00Z,Betacoronavirus 1,7094,Ethiopia,Camelus dromedarius,,2015-02-21,polyprotein ORF1ab [Dromedary camel coronavirus HKU23]
QEY10662,2019-10-07T00:00:00Z,Betacoronavirus 1,7092,Nigeria,Camelus dromedarius,,2016-01-24,polyprotein ORF1ab [Dromedary camel coronavirus HKU23]
QEY10630,2019-10-07T00:00:00Z,Betacoronavirus 1,7094,Morocco,Camelus dromedarius,,2016-03-05,polyprotein ORF1ab [Dromedary camel coronavirus HKU23]
QEY10654,2019-10-07T00:00:00Z,Betacoronavirus 1,7094,Nigeria,Camelus dromedarius,,2015-11-12,polyprotein ORF1ab [Dromedary camel coronavirus HKU23]
QEY10638,2019-10-07T00:00:00Z,Betacoronavirus 1,7092,Nigeria,Camelus dromedarius,,2015-11-20,polyprotein ORF1ab [Dromedary camel coronavirus HKU23]
QEY10646,2019-10-07T00:00:00Z,Betacoronavirus 1,7092,Nigeria,Camelus dromedarius,,2015-11-23,polyprotein ORF1ab [Dromedary camel coronavirus HKU23]
QCQ19863,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2012-06-15,polyprotein [Porcine epidemic diarrhea virus]
QCQ19857,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2012-12-13,polyprotein [Porcine epidemic diarrhea virus]
QCQ19893,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2014-07-28,polyprotein [Porcine epidemic diarrhea virus]
QCQ19941,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2011-05-25,polyprotein [Porcine epidemic diarrhea virus]
QCQ19959,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2011-02-10,polyprotein [Porcine epidemic diarrhea virus]
QCQ19875,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2012-06-04,polyprotein [Porcine epidemic diarrhea virus]
QCQ20007,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2012-10-20,polyprotein [Porcine epidemic diarrhea virus]
QCQ20049,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2017-12-17,polyprotein [Porcine epidemic diarrhea virus]
QCQ19905,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2014-06-06,polyprotein [Porcine epidemic diarrhea virus]
QCQ19899,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2014-07-28,polyprotein [Porcine epidemic diarrhea virus]
QCQ19911,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2015-05-06,polyprotein [Porcine epidemic diarrhea virus]
QCQ19917,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2016-05-18,polyprotein [Porcine epidemic diarrhea virus]
QCQ19935,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2011-02-10,polyprotein [Porcine epidemic diarrhea virus]
QCQ19881,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2014-03-24,polyprotein [Porcine epidemic diarrhea virus]
QCQ19887,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2014-07-11,polyprotein [Porcine epidemic diarrhea virus]
QCQ19923,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2017-02-27,polyprotein [Porcine epidemic diarrhea virus]
QCQ19815,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2013-01-15,polyprotein [Porcine epidemic diarrhea virus]
QCQ19845,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2014-03-12,polyprotein [Porcine epidemic diarrhea virus]
QCQ19851,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2014-01-09,polyprotein [Porcine epidemic diarrhea virus]
QCQ19821,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2012-06-04,polyprotein [Porcine epidemic diarrhea virus]
QCQ19827,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2012-09-17,polyprotein [Porcine epidemic diarrhea virus]
QCQ19833,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2012-09-23,polyprotein [Porcine epidemic diarrhea virus]
QCQ19839,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2014-08-21,polyprotein [Porcine epidemic diarrhea virus]
QCQ19797,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2012-02-08,polyprotein [Porcine epidemic diarrhea virus]
QCQ20061,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2017-02-25,polyprotein [Porcine epidemic diarrhea virus]
QCQ19869,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2014-06-07,polyprotein [Porcine epidemic diarrhea virus]
QCQ19929,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2011-02-10,polyprotein [Porcine epidemic diarrhea virus]
QCQ19947,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2011-02-10,polyprotein [Porcine epidemic diarrhea virus]
QCQ19953,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2011-02-10,polyprotein [Porcine epidemic diarrhea virus]
QCQ19965,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2011-02-10,polyprotein [Porcine epidemic diarrhea virus]
QCQ19989,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2015-12-08,polyprotein [Porcine epidemic diarrhea virus]
QCQ20001,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2013-12-07,polyprotein [Porcine epidemic diarrhea virus]
QCQ20013,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2011-05-25,polyprotein [Porcine epidemic diarrhea virus]
QCQ20019,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2011-09-25,polyprotein [Porcine epidemic diarrhea virus]
QCQ20025,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2011-04-26,polyprotein [Porcine epidemic diarrhea virus]
QCQ19809,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2012-12-13,polyprotein [Porcine epidemic diarrhea virus]
QCQ19977,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2013-07-02,polyprotein [Porcine epidemic diarrhea virus]
QCQ19995,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2013-02-06,polyprotein [Porcine epidemic diarrhea virus]
QCQ19803,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2012-06-22,polyprotein [Porcine epidemic diarrhea virus]
QCQ19971,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2012-07-15,polyprotein [Porcine epidemic diarrhea virus]
QCQ19983,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2011-03-10,polyprotein [Porcine epidemic diarrhea virus]
QCQ20031,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2011-11-27,polyprotein [Porcine epidemic diarrhea virus]
QCQ20037,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2016-05-06,polyprotein [Porcine epidemic diarrhea virus]
QCQ20043,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2017-02-24,polyprotein [Porcine epidemic diarrhea virus]
QCQ20055,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2016-12-06,polyprotein [Porcine epidemic diarrhea virus]
QCQ20067,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2017-02-25,polyprotein [Porcine epidemic diarrhea virus]
QCQ20073,2019-09-30T00:00:00Z,Porcine epidemic diarrhea virus,6781,China,Sus scrofa,abdominal cavity,2014-08-01,polyprotein [Porcine epidemic diarrhea virus]
QER78624,2019-09-28T00:00:00Z,Porcine epidemic diarrhea virus,6781,China: Heilongjiang,Sus scrofa,,2016-03,ORF1a/b [Porcine epidemic diarrhea virus]
QER90703,2019-09-28T00:00:00Z,Bat alphacoronavirus,6743,Finland: Helsinki,Myotis brandtii,feces,2016-08-15,polyprotein [Bat alphacoronavirus]
QEO75983,2019-09-16T00:00:00Z,Human coronavirus 229E,6763,USA,Homo sapiens,,2018,replicase polyprotein 1ab [Human coronavirus 229E]
QEJ82213,2019-09-04T00:00:00Z,Middle East respiratory syndrome-related coronavirus,7078,Saudi Arabia,Homo sapiens,oronasopharynx,2019-01-28,ORF1ab [Middle East respiratory syndrome-related coronavirus]
QEJ82224,2019-09-04T00:00:00Z,Middle East respiratory syndrome-related coronavirus,7078,Saudi Arabia,Homo sapiens,oronasopharynx,2019-02-15,ORF1ab [Middle East respiratory syndrome-related coronavirus]
QEH62668,2019-08-31T00:00:00Z,Swine enteric alphacoronavirus,6728,China,Sus scrofa,,2018,polyprotein [Swine enteric alphacoronavirus]
QEG03736,2019-08-25T00:00:00Z,Betacoronavirus 1,7095,USA,Homo sapiens,,2019,replicase polyprotein 1ab [Human coronavirus OC43]
QEG03783,2019-08-25T00:00:00Z,Human coronavirus 229E,6763,USA,Homo sapiens,,2019,replicase polyprotein 1ab [Human coronavirus 229E]
QEG03729,2019-08-25T00:00:00Z,Human coronavirus NL63,6729,USA,Homo sapiens,,2018,replicase polyprotein 1ab [Human coronavirus NL63]
QEG03810,2019-08-25T00:00:00Z,Betacoronavirus 1,7095,USA,Homo sapiens,,2019,replicase polyprotein 1ab [Human coronavirus OC43]
QEG03790,2019-08-25T00:00:00Z,Betacoronavirus 1,7095,USA,Homo sapiens,,2019,replicase polyprotein 1ab [Human coronavirus OC43]
QEG03800,2019-08-25T00:00:00Z,Betacoronavirus 1,7095,USA,Homo sapiens,,2019,replicase polyprotein 1ab [Human coronavirus OC43]
